input,np,tempo,sd
input_250.txt,1,11.871665,0.030352
input_250.txt,2,6.124344,0.031534
input_250.txt,3,4.310831,0.027135
input_250.txt,4,3.319017,0.017920
input_250.txt,6,3.592499,0.265354
input_250.txt,8,2.941712,0.026417
input_250.txt,10,5.221418,0.189174
input_250.txt,12,5.967479,0.271945
input_260.txt,1,13.550835,0.055702
input_260.txt,2,6.941108,0.031840
input_260.txt,3,4.897382,0.058216
input_260.txt,4,3.772763,0.026886
input_260.txt,6,4.157780,0.065198
input_260.txt,8,3.327183,0.022324
input_260.txt,10,5.698414,0.225045
input_260.txt,12,6.605047,0.326691
input_270.txt,1,15.422715,0.331969
input_270.txt,2,7.843520,0.029614
input_270.txt,3,5.531211,0.021816
input_270.txt,4,4.247372,0.017883
input_270.txt,6,4.735201,0.066263
input_270.txt,8,3.754341,0.037616
input_270.txt,10,6.403072,0.251504
input_270.txt,12,7.237694,0.574633
input_280.txt,1,17.327545,0.129347
input_280.txt,2,8.901189,0.068607
input_280.txt,3,6.228634,0.052042
input_280.txt,4,4.795934,0.035837
input_280.txt,6,5.298708,0.084001
input_280.txt,8,4.211125,0.034726
input_280.txt,10,7.096912,0.228100
input_280.txt,12,7.853944,0.670208
input_290.txt,1,19.444755,0.092932
input_290.txt,2,9.961272,0.054683
input_290.txt,3,6.997684,0.033408
input_290.txt,4,5.384676,0.064080
input_290.txt,6,5.889541,0.271255
input_290.txt,8,4.704184,0.042216
input_290.txt,10,7.854979,0.295451
input_290.txt,12,8.465587,0.375854
input_300.txt,1,21.722065,0.088230
input_300.txt,2,11.143840,0.050566
input_300.txt,3,7.817653,0.053219
input_300.txt,4,6.002181,0.025638
