input,np,tempo,sd
input_250.txt,1,11.726290,0.054261
input_250.txt,1,3.918236,0.109390
input_250.txt,2,2.034935,0.022237
input_250.txt,3,1.455456,0.013701
input_250.txt,4,1.132528,0.012561
input_250.txt,6,1.479453,0.086482
input_250.txt,8,1.186043,0.025014
input_250.txt,10,2.852242,0.238020
input_250.txt,12,3.718919,0.341323
input_260.txt,1,4.487673,0.061058
input_260.txt,2,2.316075,0.022874
input_260.txt,3,1.654028,0.016587
input_260.txt,4,1.285599,0.013835
input_260.txt,6,1.670068,0.023742
input_260.txt,8,1.347271,0.024128
input_260.txt,10,3.186041,0.248776
input_260.txt,12,4.088780,0.342891
input_270.txt,1,5.030435,0.035180
input_270.txt,2,2.623833,0.047840
input_270.txt,3,1.865023,0.018376
input_270.txt,4,1.449246,0.019278
input_270.txt,6,1.893847,0.042344
input_270.txt,8,1.519331,0.031075
input_270.txt,10,3.477082,0.217070
input_270.txt,12,4.430220,0.425133
input_280.txt,1,5.683750,0.037251
input_280.txt,2,2.960788,0.022002
input_280.txt,3,2.114832,0.032861
input_280.txt,4,1.624839,0.015296
input_280.txt,6,2.123135,0.121960
input_280.txt,8,1.712928,0.024966
input_280.txt,10,3.659763,0.286162
input_280.txt,12,4.973627,0.406095
input_290.txt,1,6.551947,0.059247
input_290.txt,2,3.372538,0.036417
input_290.txt,3,2.410627,0.025898
input_290.txt,4,1.875350,0.020710
input_290.txt,6,2.447877,0.039475
input_290.txt,8,1.959757,0.025299
input_290.txt,10,4.057983,0.378264
input_290.txt,12,5.207189,0.385694
input_300.txt,1,7.515032,0.075625
input_300.txt,2,3.895758,0.033761
input_300.txt,3,2.785303,0.026184
input_300.txt,4,2.158430,0.020458
input_300.txt,6,2.798021,0.049889
input_300.txt,8,2.247075,0.024908
input_300.txt,10,4.327944,0.292903
input_300.txt,12,5.616265,0.471463
input_310.txt,1,8.729741,0.104179
input_310.txt,2,4.541562,0.169261
input_310.txt,3,3.253524,0.083532
input_310.txt,4,2.521601,0.030505
input_310.txt,6,3.198319,0.049991
input_310.txt,8,2.588863,0.020858
input_310.txt,10,4.739859,0.266441
input_310.txt,12,5.978035,0.337826
input_320.txt,1,10.073942,0.053049
input_320.txt,2,5.242587,0.048475
input_320.txt,3,3.749001,0.051582
input_320.txt,4,2.914599,0.069592
input_320.txt,6,3.629899,0.227347
input_320.txt,8,2.998545,0.030704
input_320.txt,10,5.167188,0.229609
input_320.txt,12,6.512546,0.294334
input_330.txt,1,11.804735,0.119319
input_330.txt,2,6.070736,0.054916
input_330.txt,3,4.352952,0.046010
input_330.txt,4,3.366346,0.028935
input_330.txt,6,4.250629,0.076574
input_330.txt,8,3.454648,0.039958
input_330.txt,10,5.763623,0.373173
input_330.txt,12,7.167455,0.423701
input_340.txt,1,13.368075,0.077524
input_340.txt,2,6.993090,0.041573
input_340.txt,3,5.003174,0.050839
input_340.txt,4,4.018413,0.105579
input_340.txt,6,5.509705,0.230576
input_340.txt,8,4.685065,0.094694
input_340.txt,10,8.181258,0.191890
input_340.txt,12,9.121967,0.698450
input_350.txt,1,15.882985,0.129676
input_350.txt,2,8.157274,0.079830
input_350.txt,3,6.576183,0.311948
input_350.txt,4,5.199109,0.080053
input_350.txt,6,6.888342,0.371562
input_350.txt,8,6.087686,0.083369
input_350.txt,10,8.991092,0.171690
input_350.txt,12,9.451015,0.392771
