input,tempo,sd,seq_frac,par_frac
input_250.txt,4.855659,0.028013,0.014169,0.985831
input_260.txt,5.672742,0.032534,0.013902,0.986098
input_270.txt,6.903132,0.080116,0.013631,0.986369
input_280.txt,7.971514,0.104897,0.013312,0.986688
input_290.txt,9.172952,0.061383,0.013004,0.986996
input_300.txt,10.873265,0.036215,0.012725,0.987275
input_310.txt,12.623535,0.152083,0.012360,0.987640
input_320.txt,14.577360,0.089618,0.012036,0.987964
input_330.txt,16.288050,0.108241,0.011776,0.988224
input_340.txt,19.017575,0.144565,0.011432,0.988568
input_350.txt,21.507490,0.124124,0.011145,0.988855
