input,threads,T_seq,T_seq_sd,T_omp,T_omp_sd,S_justo,Eficiência
input_70.txt,1,0.178000,0.001716,0.181230,0.000898,0.982177,0.982177
input_70.txt,2,0.178000,0.001716,0.111223,0.005852,1.600388,0.800194
input_70.txt,4,0.178000,0.001716,0.057233,0.005058,3.110094,0.777524
input_70.txt,8,0.178000,0.001716,0.030189,0.002452,5.896187,0.737023
input_70.txt,16,0.178000,0.001716,0.033314,0.009791,5.343099,0.333944
input_70.txt,32,0.178000,0.001716,0.039979,0.002275,4.452337,0.139136
input_80.txt,1,0.161658,0.001035,0.161338,0.000717,1.001983,1.001983
input_80.txt,2,0.161658,0.001035,0.103430,0.008499,1.562970,0.781485
input_80.txt,4,0.161658,0.001035,0.058527,0.000804,2.762110,0.690527
input_80.txt,8,0.161658,0.001035,0.043677,0.002837,3.701216,0.462652
input_80.txt,16,0.161658,0.001035,0.053777,0.021525,3.006081,0.187880
input_80.txt,32,0.161658,0.001035,0.056084,0.001488,2.882426,0.090076
input_90.txt,1,0.235827,0.001669,0.239334,0.001382,0.985347,0.985347
input_90.txt,2,0.235827,0.001669,0.149603,0.011784,1.576352,0.788176
input_90.txt,4,0.235827,0.001669,0.081223,0.001741,2.903451,0.725863
input_90.txt,8,0.235827,0.001669,0.061039,0.002988,3.863546,0.482943
input_90.txt,16,0.235827,0.001669,0.071642,0.014856,3.291742,0.205734
input_90.txt,32,0.235827,0.001669,0.074614,0.003017,3.160627,0.098770
input_100.txt,1,0.326161,0.001941,0.331475,0.001806,0.983969,0.983969
input_100.txt,2,0.326161,0.001941,0.200443,0.014432,1.627201,0.813600
input_100.txt,4,0.326161,0.001941,0.113868,0.003269,2.864378,0.716094
input_100.txt,8,0.326161,0.001941,0.081201,0.003682,4.016712,0.502089
input_100.txt,16,0.326161,0.001941,0.094017,0.030211,3.469170,0.216823
input_100.txt,32,0.326161,0.001941,0.097670,0.002935,3.339418,0.104357
input_110.txt,1,0.441570,0.002458,0.446125,0.002739,0.989790,0.989790
input_110.txt,2,0.441570,0.002458,0.269657,0.020403,1.637525,0.818762
input_110.txt,4,0.441570,0.002458,0.150330,0.002831,2.937338,0.734335
input_110.txt,8,0.441570,0.002458,0.101535,0.003102,4.348944,0.543618
input_110.txt,16,0.441570,0.002458,0.115380,0.022532,3.827093,0.239193
input_110.txt,32,0.441570,0.002458,0.115147,0.003621,3.834837,0.119839
input_120.txt,1,0.578843,0.003678,0.582860,0.002377,0.993108,0.993108
input_120.txt,2,0.578843,0.003678,0.343793,0.018381,1.683696,0.841848
input_120.txt,4,0.578843,0.003678,0.195190,0.003154,2.965536,0.741384
input_120.txt,8,0.578843,0.003678,0.135056,0.005715,4.285948,0.535744
input_120.txt,16,0.578843,0.003678,0.137210,0.029565,4.218665,0.263667
input_120.txt,32,0.578843,0.003678,0.146391,0.010798,3.954089,0.123565
input_130.txt,1,0.750782,0.004118,0.750728,0.004337,1.000072,1.000072
input_130.txt,2,0.750782,0.004118,0.441144,0.024297,1.701898,0.850949
input_130.txt,4,0.750782,0.004118,0.247762,0.003822,3.030255,0.757564
input_130.txt,8,0.750782,0.004118,0.169373,0.003984,4.432714,0.554089
input_130.txt,16,0.750782,0.004118,0.178897,0.036018,4.196728,0.262296
input_130.txt,32,0.750782,0.004118,0.191911,0.007404,3.912136,0.122254
input_140.txt,1,0.951354,0.007254,0.959548,0.006543,0.991461,0.991461
input_140.txt,2,0.951354,0.007254,0.554019,0.029883,1.717187,0.858594
